id,status2021EN,status2021HE,surnameHE,givenNameHE,surnameEN,givenNameEN,genderEN,genderHE,nationalityEN,nationalityHE,religionEN,religionHE,religiousityEN,religiousityHE,ethnicityEN,ethnicityHE,birthCountryEN,birthCountryHE,birthYear,majorChildhoodCityHE,majorChildhoodCityEN,citySocio,highschoolHE,educationTypeEN,educationTypeHE,armyServiceEN,armyServiceHE,mainLegalEducationEN,mainLegalEducationHE,mainLegalEducationTypeInstEN,mainLegalEducationTypeInstHE,YearFisrtDegreeGraduation,typeAdvancedLegalEducationEN,typeAdvancedLegalEducationHE,universityAdvancedLegalEducationEN,universityAdvancedLegalEducationHE,yearAdvancedLegalEducation,otherAdvancedEducationHE,placeOfInternshipEN,placeOfInternshipHE,yearOfBecomingLawyer,lastPositionBeforeJudgeshipEN,lastPositionBeforeJudgeshipEN,position1EN,position1HE,court1NameEN,court1NameHE,position1Year,position2EN,position2HE,court2NameEN,court2NameHE,position2Year,position3EN,position3HE,court3NameEN,court3NameHE,position3Year,position4EN,position4HE,court4NameEN,court4NameHE,position4Year,position5EN,position5HE,court5NameEN,court5NameHE,position5Year,position6EN,position6HE,court6NameEN,court6NameHE,position6Year,position7EN,position7HE,court7NameEN,court7NameHE,position7Year,position8EN,position8HE,court8NameEN,court8NameHE,position8Year,everInSupremeCourt,everInSupremeStartYear1,everInSupremeEndYear1,everInSupremeStartYear2,everInSupremeEndYear2,everInDistrict,everInDistrictStartYear1,everInDistrictEndYear1,everInDistrictStartYear2,everInDistrictEndYear2,everInMagistrate,everInMagistrateStartYear1,everInMagistrateEndYear1,everInMagistrateStartYear2,everInMagistrateEndYear2,everInLaborRegional,everInLaborRegionalStartYear1,everInLaborRegionalEndYear1,everInLaborRegionalStartYear2,everInLaborRegionalEndYear2,everInLaborNational,everInLaborNationalStartYear,everInLaborNationalEndYear,endOfCareerEN,endOfCareerHE,endOfCareerYear,comments,ageOfEnteringJudgeship,xpInFirstNom,ageOfRetirement,JudgeshipxpInRet
1081,Inactive,אינו פעיל\ אינה פעילה,עדיאל יהונתן,יהונתן,Jonathan Adiel,Jonathan,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1942,ירושלים,Jerusalem,3,גמנסיה רחביה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1968,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1969,Law Firm,"משרד עו""ד",Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,1994,Acting Judge,שיפוט בפועל,Supreme Court,עליון,2004,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,2005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,2004,2009,,,TRUE,1994,2003,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2009,,52,25,67,15
1082,Active,פעיל\ה,עדן ,יואל,Eden,Yoel,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1963,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1991,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1992,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2007,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Southern District,שלום- מחוז דרום,2012,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,2013,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2013,9999,,,TRUE,2007,2012,,,FALSE,,,,,FALSE,,,null,null,9999,-99,44,15,FALSE,null
1083,Active,פעיל\ה,פורר ,מירית,Forer,Mirit,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1971,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1995,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,2004,לא ידוע,Law Firm,"משרד עו""ד",1998,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,38,11,FALSE,null
1084,Inactive,אינו פעיל\ אינה פעילה,"עדן אבינועם ז""ל",אבינועם,Eden Avinoam late,Avinoam,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Mizrahi,מזרחי\ת,Unknown,לא ידוע,1913,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Unknown,Unkown,Law Classes (British Mandate),לימודי משפטים במנדט הבריטי,Abroad,"חו""ל",Unknown,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Unknown,לא ידוע,1939,Law Firm,"משרד עו""ד",Registrar,רשמות,District - Jerusalem,מחוזי- ירושלים,1949,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,1958,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1949,1973,,,FALSE,,,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1973,פרישה מוקדמת מטעם לא ידוע; נפטר במועד לא ידוע,36,10,60,24
1085,Active,פעיל\ה,פלד ,הדס,Peled,Hadas,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1960,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1986,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1987,Private - other,משרד פרטי- אחר,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,49,22,FALSE,null
1086,Active,פעיל\ה,עוזיאל ,צחי,Uziel,Tzachi,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,Israel\Palestine,ישראל\פלשתינה,1972,ירושלים,Jerusalem,3,קריית חינוך יפו,state-secular,ממלכתי,Army Service,Army Service,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1997,Masters,Masters,Tel Aviv University (TAU),אוניברסיטת תל אביב,2007,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1998,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2010,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Tel Aviv District,שלום- מחוז תל אביב,2015,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2010,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,38,12,FALSE,null
1087,Active,פעיל\ה,פרס ,טלמור,a prize,Talmor,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1971,אשדוד,Ashdod,5,מקיף ג באשדוד,state-secular,ממלכתי,Army Service,Army Service,The College of Law and Business,המרכז האקדמי למשפט ולעסקים,College,מכללה,2001,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2006,לא ידוע,Magistrate Court,"בימ""ש שלום",2002,Judiciary (law clerks),סגל עזר שיפוטי,Registrar,רשמות,Magistrate - Southern District,שלום- מחוז דרום,2009,Registrar,רשמות,Magistrate - Center District,שלום- מחוז מרכז,2011,Senior Registrar,רשמות בכירה,Magistrate - Southern District,שלום- מחוז דרום,2014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,בשנת 1996 סיימה לימודי תואר ראשון במדעי הרוח באוניברסיטה העברית בירושלים שילבה את התואר במשפטים עם לימודי כלכלה,38,7,FALSE,null
1088,Active,פעיל\ה,עטר ,יואב,Attar,Yoav,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Mizrahi,מזרחי\ת,Israel\Palestine,ישראל\פלשתינה,1971,חוץ לארץ,abroad,null,"תיכון בארה""ב",state-secular,ממלכתי,Army Service,Army Service,Britain and its Colonies,בריטניה והקולוניות,Abroad,"חו""ל",1996,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2004,לא ידוע,Public Prosecutor ,פרקליטות המדינה,1997,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Beer Sheva,שלום- באר שבע,2012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2012,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,41,15,FALSE,null
1089,Active,פעיל\ה,עמית ,יצחק,,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1958,תל אביב -יפו,Tel Aviv Jaffa,8,בית הספר צייטלין בתל אביב,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1985,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1986,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Haifa District,שלום- מחוז חיפה,1997,Acting Judge,שיפוט בפועל,District - Haifa,מחוזי- חיפה,2001,Judge,שיפוט,District - Haifa,מחוזי- חיפה,2002,Judge,שיפוט,Supreme Court,עליון,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,2009,9999,,,TRUE,2001,2008,,,TRUE,1997,2000,,,FALSE,,,,,FALSE,,,null,null,9999,-99,39,11,FALSE,null
1090,Inactive,אינו פעיל\ אינה פעילה,עמית נתן,נתן,Amit gave,Nathan,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1933,לא ידוע,Unknown,null,בית חינוך,Unknown,לא ידוע,Unknown,Unkown,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1957,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1959,Private - other,משרד פרטי- אחר,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1978,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,1990,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,1993,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1993,2003,,,TRUE,1978,1992,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2003,,45,19,70,25
1091,Inactive,אינו פעיל\ אינה פעילה,"עמר חביב ז""ל",חביב,Habib Umar late,favorite,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - Orthodox Background,דתי אורותודכסי,Mizrahi,מזרחי\ת,Middle East (Asia),מזרח תיכון,1954,אשדוד,Ashdod,5,מקיף ב - אשדוד,religious (state and independent),דתי (ממלכתי\עצמאי),Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1979,Unknown,לא ידוע,Unknown,לא ידוע,null,סגן חתן התנך העולמי,Public Prosecutor ,פרקליטות המדינה,1980,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,1989,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Beer Sheva,שלום- באר שבע,1997,Acting Judge,שיפוט בפועל,District - Beer Sheva,מחוזי- באר שבע,1997,Judge,שיפוט,District - Beer Sheva,מחוזי- באר שבע,1998,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,1997,2006,,,TRUE,1989,1996,,,FALSE,,,,,FALSE,,,deceased,פטירה,2006,נפטר 2006,35,9,52,17
1092,Active,פעיל\ה,צור ,מעין,flint,kind of,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1972,חיפה,Haifa,7,הריאלי העברי בחיפה,state-secular,ממלכתי,Army Service,Army Service,University of Haifa,אוניברסיטת חיפה,University,אוניברסיטה,1995,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1999,לא ידוע,IDF,"צה""ל",1996,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Haifa,שלום- חיפה,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,37,13,FALSE,null
1093,Active,פעיל\ה,שמואלי-מאייר ,נגה,,Noga,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,Unknown,תל אביב -יפו,Tel Aviv Jaffa,8,"עירוני יד - ת""א",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1995,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2006,"ראשון מדעי הרוח ת""א",Public Prosecutor ,פרקליטות המדינה,1995,Public Defender,סניגוריה ציבורית,Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2009,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Southern District,שלום- מחוז דרום,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2009,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,Unknown,14,FALSE,null
1094,Active,פעיל\ה,ענבר ,יצחק,,Isaac,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1955,נתניה,Netanya,6,טשרניחובסקי בנתניה,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1980,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,District Court,"בימ""ש מחוזי",1981,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1993,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Jerusalem,שלום- ירושלים,2000,Judge,שיפוט,District - Jerusalem,מחוזי- ירושלים,2002,Senior Judge,שיפוט בכיר,District - Jerusalem,מחוזי- ירושלים,2010,Senior Judge,שיפוט בכיר,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2011,Vice President,"סגנות נשיאות בימ""ש",District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2014,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2002,9999,,,TRUE,1993,2001,,,FALSE,,,,,FALSE,,,null,null,9999,-99,38,12,FALSE,null
1095,Inactive,אינו פעיל\ אינה פעילה,"עציוני משה ז""ל",משה,The late Moshe Etzioni,Moses,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1908,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Eastern Europe,מזרח אירופה,Abroad,"חו""ל",1932,PhD,PhD,East Europe,מזרח אירופה,1935,לא ידוע,Unknown,לא ידוע,1940,Government department/agency,משרד או רשות ממשלתית,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,1945,President,"נשיאות בימ""ש",Magistrate - Haifa,שלום- חיפה,1948,Judge,שיפוט,District - Haifa,מחוזי- חיפה,1949,Vice President,"סגנות נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,1959,Acting Judge,שיפוט בפועל,District - Haifa,מחוזי- חיפה,1966,President,"נשיאות בימ""ש",District - Haifa,מחוזי- חיפה,1969,Judge,שיפוט,Supreme Court,עליון,1970,null,null,null,null,null,TRUE,1970,1977,,,TRUE,1949,1969,,,TRUE,1945,1948,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,1977,נפטר 1998,37,5,69,32
1096,Inactive,אינו פעיל\ אינה פעילה,פדר חנוך,חנוך,Feder Enoch,Enoch,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Eastern Europe,מזרח אירופה,1947,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Bar Ilan University ,אוניברסיטת בר אילן,University,אוניברסיטה,1974,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Magistrate Court,"בימ""ש שלום",1976,Law Firm,"משרד עו""ד",Registrar,רשמות,Magistrate - Kfar Saba,שלום- כפר סבא,1993,Judge,שיפוט,Magistrate - Unknown,שלום- לא ידוע,1996,Vice President,"סגנות נשיאות בימ""ש",Magistrate - Kfar Saba,שלום- כפר סבא,1999,Senior Judge,שיפוט בכיר,Magistrate - Kfar Saba,שלום- כפר סבא,2008,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1993,2011,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2011,פרישה מוקדמת מטעם לא ידוע,46,17,64,18
1097,Active,פעיל\ה,פוגלמן ,עוזי,,Uzi,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1954,תל אביב -יפו,Tel Aviv Jaffa,8,"עירוני א בת""א",state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1979,Masters,Masters,Hebrew University of Jerusalem (HUJI),האוניברסיטה העברית בירושלים,1985,"שני מנהל ציבורי ארה""ב",Unknown,לא ידוע,1980,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2000,Acting Judge,שיפוט בפועל,Supreme Court,עליון,2007,Judge,שיפוט,Supreme Court,עליון,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,TRUE,2007,9999,,,TRUE,2000,2006,,,FALSE,,,,,FALSE,,,,,FALSE,,,null,null,9999,"בשנת 1990 סיים לימודי מוסמך במנהל ציבורי באוניברסיטת הרווארד בארה""ב",46,20,FALSE,null
1098,Inactive,אינו פעיל\ אינה פעילה,שניצר רהב,חנה,Schnitzer wide,Hana,Female,נקבה,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1972,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,College of Management,המכללה למנהל,College,מכללה,1997,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1998,Private - other,משרד פרטי- אחר,Registrar,רשמות,Labor - Tel Aviv,עבודה- תל אביב,2009,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,TRUE,2009,2010,,,FALSE,,,Retired,פרישה לגמלאות,2010,-99,37,11,38,1
1099,Active,פעיל\ה,פולוק,דב,Pollock,Dov,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,North America,צפון אמריקה,1956,חוץ לארץ,abroad,null,"ווסטדייל המילטון, קנדה",state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1982,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1985,"Security Forces (Police, IDF, ISA) ","כוחות הבטחון (צה""ל, משטרה, שב""כ)",Judge - specialty,שיפוט (מומחיות),Magistrate - Unknown,שלום- לא ידוע,1995,Acting Judge,שיפוט בפועל,Magistrate - Unknown,שלום- לא ידוע,1998,Judge,שיפוט,Magistrate - Center District,שלום- מחוז מרכז,2003,Judge,שיפוט,Magistrate - Jerusalem,שלום- ירושלים,2007,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1995,9999,,,FALSE,,,,,FALSE,,,null,null,9999,-99,39,10,FALSE,null
1100,Active,פעיל\ה,פוליאק,רועי,,Roy,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1958,תל אביב -יפו,Tel Aviv Jaffa,8,עירוני ט,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1984,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1986,Law Firm,"משרד עו""ד",Judge,שיפוט,Labor - National,עבודה ארצי,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,FALSE,,,,,FALSE,,,,,TRUE,2016,9999,null,null,9999,,58,30,FALSE,null
1101,Inactive,אינו פעיל\ אינה פעילה,פוני אורי,אורי,Pony Uri,Ori,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1950,ירושלים,Jerusalem,3,בית חיוך,state-secular,ממלכתי,Unknown,Unkown,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1975,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1977,Government department/agency,משרד או רשות ממשלתית,Registrar,רשמות,Magistrate - Jerusalem,שלום- ירושלים,1994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1994,2014,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2014,פרישה מוקדמת מטעם לא ידוע,44,17,64,20
1102,Inactive,אינו פעיל\ אינה פעילה,פוקס יגיב,יגיב,,React,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1939,קריית טבעון,Kiryat Tivon,8,תיכון גרינברג,state-secular,ממלכתי,Army Service,Army Service,Hebrew University of Jerusalem,האוניברסיטה העברית בירושלים,University,אוניברסיטה,1964,Unknown,לא ידוע,Unknown,לא ידוע,null,לא ידוע,Law Firm,"משרד עו""ד",1966,Law Firm,"משרד עו""ד",Judge - specialty,שיפוט (מומחיות),Magistrate - Haifa,שלום- חיפה,1978,Vice President,"סגנות לנשיאות בימ""ש",Magistrate - Haifa District,שלום- מחוז חיפה,1995,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,1978,2003,,,FALSE,,,,,FALSE,,,Retired,פרישה לגמלאות,2003,פרישה מוקדמת מטעם לא ידוע,39,12,64,25
1103,Active,פעיל\ה,פורג ,אבי,Forge,Avi,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Unknown,לא ידוע,Unknown,לא ידוע,Israel\Palestine,ישראל\פלשתינה,1966,לא ידוע,Unknown,null,null,Unknown,לא ידוע,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1992,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2004,"שני מנהל עסקים ת""א",Law Firm,"משרד עו""ד",1993,Public Prosecutor,פרקליטות המדינה,Judge,שיפוט,Magistrate - Tel Aviv-Jaffa,שלום- תל אביב יפו,2004,Acting Judge,שיפוט בפועל,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2014,Judge,שיפוט,District - Tel Aviv-Jaffa,מחוזי- תל אביב יפו,2014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,TRUE,2014,9999,,,TRUE,2004,2013,,,FALSE,,,,,FALSE,,,null,null,9999,בשנת 1999 סיים לימודי מוסמך במינהל עסקים באוניברסיטת תל-אביב,38,11,FALSE,null
1104,Active,פעיל\ה,פורר,צבי,,deer,Male,זכר,Jew,יהודי,Jew,יהודי\ה,Jew - no religious background,ללא רקע דתי,Ashkenazi,אשכנזי\ה,Israel\Palestine,ישראל\פלשתינה,1969,רחובות,Blocks,7,קציר,state-secular,ממלכתי,Army Service,Army Service,Tel Aviv University,אוניברסיטת תל אביב,University,אוניברסיטה,1996,Masters,Masters,Bar Ilan University (BIU),אוניברסיטת בר אילן,2000,לא ידוע,Law Firm,"משרד עו""ד",1997,Law Firm,"משרד עו""ד",Judge,שיפוט,Magistrate - Southern District,שלום- מחוז דרום,2016,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,FALSE,null,null,,,FALSE,,,,,TRUE,2016,9999,,,FALSE,,,,,FALSE,,,null,null,9999,,47,19,FALSE,null
